 Counter value is: 36 	Fri Dec 10 12:24:45 2021
 Counter value is: 35 	Fri Dec 10 12:24:46 2021
 Counter value is: 34 	Fri Dec 10 12:24:47 2021
 Counter value is: 33 	Fri Dec 10 12:24:48 2021
 Counter value is: 32 	Fri Dec 10 12:24:49 2021
 Counter value is: 31 	Fri Dec 10 12:24:50 2021
 Counter value is: 30 	Fri Dec 10 12:24:51 2021
 Counter value is: 29 	Fri Dec 10 12:24:52 2021
 Counter value is: 28 	Fri Dec 10 12:24:53 2021
 Counter value is: 27 	Fri Dec 10 12:24:54 2021
 Counter value is: 26 	Fri Dec 10 12:24:55 2021
 Counter value is: 25 	Fri Dec 10 12:24:56 2021
 Counter value is: 24 	Fri Dec 10 12:24:57 2021
 Counter value is: 23 	Fri Dec 10 12:24:58 2021
 Counter value is: 22 	Fri Dec 10 12:24:59 2021
 Counter value is: 21 	Fri Dec 10 12:25:00 2021
 Counter value is: 20 	Fri Dec 10 12:25:01 2021
 Counter value is: 19 	Fri Dec 10 12:25:02 2021
 Counter value is: 18 	Fri Dec 10 12:25:03 2021
 Counter value is: 17 	Fri Dec 10 12:25:04 2021
 Counter value is: 16 	Fri Dec 10 12:25:05 2021
 Counter value is: 15 	Fri Dec 10 12:25:06 2021
 Counter value is: 14 	Fri Dec 10 12:25:07 2021
 Counter value is: 13 	Fri Dec 10 12:25:08 2021
 Counter value is: 12 	Fri Dec 10 12:25:09 2021
 Counter value is: 11 	Fri Dec 10 12:25:10 2021
 Counter value is: 10 	Fri Dec 10 12:25:11 2021
 Counter value is: 9 	Fri Dec 10 12:25:12 2021
 Counter value is: 8 	Fri Dec 10 12:25:13 2021
 Counter value is: 7 	Fri Dec 10 12:25:14 2021
 Counter value is: 6 	Fri Dec 10 12:25:15 2021
 Counter value is: 5 	Fri Dec 10 12:25:16 2021
 Counter value is: 4 	Fri Dec 10 12:25:17 2021
 Counter value is: 3 	Fri Dec 10 12:25:18 2021
 Counter value is: 2 	Fri Dec 10 12:25:19 2021
 Counter value is: 1 	Fri Dec 10 12:25:20 2021
 Counter value is: 60 	Fri Dec 10 12:25:21 2021
 Counter value is: 59 	Fri Dec 10 12:25:22 2021
 Counter value is: 58 	Fri Dec 10 12:25:23 2021
 Counter value is: 57 	Fri Dec 10 12:25:24 2021
 Counter value is: 56 	Fri Dec 10 12:25:25 2021
 Counter value is: 55 	Fri Dec 10 12:25:26 2021
 Counter value is: 54 	Fri Dec 10 12:25:27 2021
 Counter value is: 53 	Fri Dec 10 12:25:28 2021
 Counter value is: 52 	Fri Dec 10 12:25:29 2021
 Counter value is: 51 	Fri Dec 10 12:25:30 2021
 Counter value is: 50 	Fri Dec 10 12:25:31 2021
 Counter value is: 49 	Fri Dec 10 12:25:32 2021
 Counter value is: 48 	Fri Dec 10 12:25:33 2021
 Counter value is: 47 	Fri Dec 10 12:25:34 2021
 Counter value is: 46 	Fri Dec 10 12:25:35 2021
 Counter value is: 45 	Fri Dec 10 12:25:36 2021
